,filename_roi,Trajectory,file name,roi,group
72769,Traj_221118_Uninfected_lo_GEM001.csv-7,11728,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72770,Traj_221118_Uninfected_lo_GEM001.csv-7,11851,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72771,Traj_221118_Uninfected_lo_GEM001.csv-7,12127,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72772,Traj_221118_Uninfected_lo_GEM001.csv-7,12216,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72773,Traj_221118_Uninfected_lo_GEM001.csv-7,12579,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72774,Traj_221118_Uninfected_lo_GEM001.csv-7,12697,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72775,Traj_221118_Uninfected_lo_GEM001.csv-7,13111,Traj_221118_Uninfected_lo_GEM001.csv,7,Uninfected
72838,Traj_221118_Uninfected_lo_GEM002.csv-17,37,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72839,Traj_221118_Uninfected_lo_GEM002.csv-17,71,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72840,Traj_221118_Uninfected_lo_GEM002.csv-17,77,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72841,Traj_221118_Uninfected_lo_GEM002.csv-17,91,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72842,Traj_221118_Uninfected_lo_GEM002.csv-17,462,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72843,Traj_221118_Uninfected_lo_GEM002.csv-17,1053,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72844,Traj_221118_Uninfected_lo_GEM002.csv-17,1339,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72845,Traj_221118_Uninfected_lo_GEM002.csv-17,1428,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72846,Traj_221118_Uninfected_lo_GEM002.csv-17,1639,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72847,Traj_221118_Uninfected_lo_GEM002.csv-17,1731,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72848,Traj_221118_Uninfected_lo_GEM002.csv-17,1888,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72849,Traj_221118_Uninfected_lo_GEM002.csv-17,2223,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72850,Traj_221118_Uninfected_lo_GEM002.csv-17,2226,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72851,Traj_221118_Uninfected_lo_GEM002.csv-17,2408,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72852,Traj_221118_Uninfected_lo_GEM002.csv-17,2447,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72853,Traj_221118_Uninfected_lo_GEM002.csv-17,2452,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72854,Traj_221118_Uninfected_lo_GEM002.csv-17,2917,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72855,Traj_221118_Uninfected_lo_GEM002.csv-17,3019,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72856,Traj_221118_Uninfected_lo_GEM002.csv-17,3326,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72857,Traj_221118_Uninfected_lo_GEM002.csv-17,3518,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72858,Traj_221118_Uninfected_lo_GEM002.csv-17,3731,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72859,Traj_221118_Uninfected_lo_GEM002.csv-17,4566,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72860,Traj_221118_Uninfected_lo_GEM002.csv-17,4607,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72861,Traj_221118_Uninfected_lo_GEM002.csv-17,4917,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72862,Traj_221118_Uninfected_lo_GEM002.csv-17,5012,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72863,Traj_221118_Uninfected_lo_GEM002.csv-17,5052,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72864,Traj_221118_Uninfected_lo_GEM002.csv-17,5071,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72865,Traj_221118_Uninfected_lo_GEM002.csv-17,5574,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72866,Traj_221118_Uninfected_lo_GEM002.csv-17,5668,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72867,Traj_221118_Uninfected_lo_GEM002.csv-17,5705,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72868,Traj_221118_Uninfected_lo_GEM002.csv-17,5788,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72869,Traj_221118_Uninfected_lo_GEM002.csv-17,5831,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72870,Traj_221118_Uninfected_lo_GEM002.csv-17,6063,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72871,Traj_221118_Uninfected_lo_GEM002.csv-17,6091,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72872,Traj_221118_Uninfected_lo_GEM002.csv-17,6351,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72873,Traj_221118_Uninfected_lo_GEM002.csv-17,6526,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72874,Traj_221118_Uninfected_lo_GEM002.csv-17,6674,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72875,Traj_221118_Uninfected_lo_GEM002.csv-17,7014,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72876,Traj_221118_Uninfected_lo_GEM002.csv-17,7015,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72877,Traj_221118_Uninfected_lo_GEM002.csv-17,7355,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72878,Traj_221118_Uninfected_lo_GEM002.csv-17,7500,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72879,Traj_221118_Uninfected_lo_GEM002.csv-17,7702,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72880,Traj_221118_Uninfected_lo_GEM002.csv-17,7720,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72881,Traj_221118_Uninfected_lo_GEM002.csv-17,7814,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72882,Traj_221118_Uninfected_lo_GEM002.csv-17,8231,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72883,Traj_221118_Uninfected_lo_GEM002.csv-17,9233,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72884,Traj_221118_Uninfected_lo_GEM002.csv-17,9353,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72885,Traj_221118_Uninfected_lo_GEM002.csv-17,9560,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72886,Traj_221118_Uninfected_lo_GEM002.csv-17,9647,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72887,Traj_221118_Uninfected_lo_GEM002.csv-17,9717,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
72888,Traj_221118_Uninfected_lo_GEM002.csv-17,9894,Traj_221118_Uninfected_lo_GEM002.csv,17,Uninfected
